,m,s,e,u,m_genotype,s_region,e_name,osi_ctrl,osi_opto,dsi_ctrl,dsi_opto,sbc_zscore,sbc,sbc_method,chirp_type,wave_type,burst_ratio_ctrl,burst_ratio_opto,tun_model,tun_rsq_ctrl,tun_rsq_opto,c_zscore,fr_mean_e,fr_sem_e,fr_mean_stim,fr_sem_stim,fr_mean_spon,fr_sem_spon,fr_mean_ctrl,fr_sem_ctrl,fr_mean_opto,fr_sem_opto,fr_mean_stim_ctrl,fr_sem_stim_ctrl,fr_mean_stim_opto,fr_sem_stim_opto,fr_mean_spon_ctrl,fr_sem_spon_ctrl,fr_mean_spon_opto,fr_sem_spon_opto,omi_e,omi_stim,omi_spon,snr_opto,snr_ctrl
0,Ntsr1Cre_2019_0002,3,1,13,+/-,LGN,AsparseNoise5_60deg,,,,,,,,,excit,,,ellipse,0.12435954499617263,,,27.975017013888888,0.2880162884856609,27.975017013888888,0.2880162884856609,,,,,,,,,,,,,,,,,,,
1,Ntsr1Cre_2019_0002,3,1,14,+/-,LGN,AsparseNoise5_60deg,,,,,,,,,excit,,,ellipse,0.9159193634456441,,,14.655722777777775,0.5024974219700813,14.655722777777775,0.5024974219700813,,,,,,,,,,,,,,,,,,,
2,Ntsr1Cre_2019_0002,3,1,19,+/-,LGN,AsparseNoise5_60deg,,,,,,,,,excit,,,ellipse,0.8106809124722705,,,2.1580656562500002,0.1695479507107494,2.1580656562500002,0.1695479507107494,,,,,,,,,,,,,,,,,,,
3,Ntsr1Cre_2019_0002,3,1,30,+/-,LGN,AsparseNoise5_60deg,,,,,,,,,excit,,,ellipse,0.4787728613137455,,,6.377960034722223,0.1358765940886693,6.377960034722223,0.1358765940886693,,,,,,,,,,,,,,,,,,,
4,Ntsr1Cre_2019_0002,3,1,40,+/-,LGN,AsparseNoise5_60deg,,,,,,,,,excit,,,ellipse,0.4691203830206623,,,5.003384340277778,0.13265287369701387,5.003384340277778,0.13265287369701387,,,,,,,,,,,,,,,,,,,
5,Ntsr1Cre_2019_0002,3,1,45,+/-,LGN,AsparseNoise5_60deg,,,,,,,,,excit,,,ellipse,0.671230740988869,,,0.21320163194444441,0.023325417134430256,0.21320163194444441,0.023325417134430256,,,,,,,,,,,,,,,,,,,
6,Ntsr1Cre_2019_0002,3,1,59,+/-,LGN,AsparseNoise5_60deg,,,,,,,,,excit,,,ellipse,0.09356709070568048,,,10.29456767361111,0.12977870963051366,10.29456767361111,0.12977870963051366,,,,,,,,,,,,,,,,,,,
7,Ntsr1Cre_2019_0002,3,1,72,+/-,LGN,AsparseNoise5_60deg,,,,,,,,,excit,,,ellipse,0.863026342120113,,,0.13000253472222223,0.030098333794712148,0.13000253472222223,0.030098333794712148,,,,,,,,,,,,,,,,,,,
8,Ntsr1Cre_2019_0002,3,2,13,+/-,LGN,Aspontaneous_opto,,,,,,,,,excit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ntsr1Cre_2019_0002,3,2,14,+/-,LGN,Aspontaneous_opto,,,,,,,,,excit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Ntsr1Cre_2019_0002,3,2,19,+/-,LGN,Aspontaneous_opto,,,,,,,,,excit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ntsr1Cre_2019_0002,3,2,30,+/-,LGN,Aspontaneous_opto,,,,,,,,,excit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Ntsr1Cre_2019_0002,3,2,40,+/-,LGN,Aspontaneous_opto,,,,,,,,,excit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Ntsr1Cre_2019_0002,3,2,45,+/-,LGN,Aspontaneous_opto,,,,,,,,,excit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Ntsr1Cre_2019_0002,3,2,59,+/-,LGN,Aspontaneous_opto,,,,,,,,,excit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Ntsr1Cre_2019_0002,3,2,72,+/-,LGN,Aspontaneous_opto,,,,,,,,,excit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Ntsr1Cre_2019_0002,3,3,13,+/-,LGN,oriTun12_opto,0.0583471505918339,0.015818069412305066,0.0032385386557041273,0.08126757610451504,3.2881613333333335,False,mean_per_exp,,excit,0.052184640944529744,0.18762862463878682,sum_of_gaussians,0.683411548430129,0.4985550164328272,15.7167,39.71147307692307,1.183413314709846,40.52804583333333,1.117625060683305,29.912599999999998,2.5267999999999997,36.03322307692307,1.0518927070757793,43.38972307692308,1.5728574935510606,36.33270833333333,1.0962012518070685,44.72338333333334,0.9064417547044694,32.4394,4.18617,27.3858,2.30519,0.09262436558006938,0.10351689586151822,-0.08447276398574513,,
