,m,s,u
0,Ntsr1Cre_2019_0002,3,13
1,Ntsr1Cre_2019_0002,3,14
2,Ntsr1Cre_2019_0002,3,19
3,Ntsr1Cre_2019_0002,3,30
4,Ntsr1Cre_2019_0002,3,40
5,Ntsr1Cre_2019_0002,3,45
6,Ntsr1Cre_2019_0002,3,59
7,Ntsr1Cre_2019_0002,3,72
8,Ntsr1Cre_2019_0002,5,62
9,Ntsr1Cre_2019_0002,5,72
10,Ntsr1Cre_2019_0002,5,78
11,Ntsr1Cre_2019_0003,4,1
12,Ntsr1Cre_2019_0003,4,4
13,Ntsr1Cre_2019_0003,4,6
14,Ntsr1Cre_2019_0003,4,7
15,Ntsr1Cre_2019_0003,4,10
16,Ntsr1Cre_2019_0003,4,12
17,Ntsr1Cre_2019_0003,4,14
18,Ntsr1Cre_2019_0003,4,16
19,Ntsr1Cre_2019_0003,4,19
20,Ntsr1Cre_2019_0003,4,21
21,Ntsr1Cre_2019_0003,4,23
22,Ntsr1Cre_2019_0003,4,24
23,Ntsr1Cre_2019_0007,4,13
24,Ntsr1Cre_2019_0007,4,20
25,Ntsr1Cre_2019_0007,4,27
26,Ntsr1Cre_2019_0007,4,47
27,Ntsr1Cre_2019_0007,4,51
28,Ntsr1Cre_2019_0007,4,52
29,Ntsr1Cre_2019_0007,4,53
30,Ntsr1Cre_2019_0007,4,58
31,Ntsr1Cre_2019_0007,4,64
32,Ntsr1Cre_2019_0007,4,74
33,Ntsr1Cre_2019_0007,4,75
34,Ntsr1Cre_2019_0007,4,80
35,Ntsr1Cre_2019_0007,4,82
36,Ntsr1Cre_2019_0007,5,36
37,Ntsr1Cre_2019_0007,5,38
38,Ntsr1Cre_2019_0007,5,43
39,Ntsr1Cre_2019_0007,5,52
40,Ntsr1Cre_2019_0007,5,56
41,Ntsr1Cre_2019_0007,5,64
42,Ntsr1Cre_2019_0007,5,88
43,Ntsr1Cre_2019_0007,5,109
44,Ntsr1Cre_2019_0007,6,1
45,Ntsr1Cre_2019_0007,6,2
46,Ntsr1Cre_2019_0007,6,3
47,Ntsr1Cre_2019_0007,6,4
48,Ntsr1Cre_2019_0007,6,5
49,Ntsr1Cre_2019_0007,6,6
50,Ntsr1Cre_2019_0007,6,7
51,Ntsr1Cre_2019_0007,6,8
52,Ntsr1Cre_2019_0007,6,9
53,Ntsr1Cre_2019_0007,6,10
54,Ntsr1Cre_2019_0007,6,11
55,Ntsr1Cre_2019_0007,6,12
56,Ntsr1Cre_2019_0007,6,13
57,Ntsr1Cre_2019_0007,6,14
58,Ntsr1Cre_2019_0007,6,15
59,Ntsr1Cre_2019_0007,6,16
60,Ntsr1Cre_2019_0007,6,17
61,Ntsr1Cre_2019_0007,6,18
62,Ntsr1Cre_2019_0007,6,19
63,Ntsr1Cre_2019_0007,6,20
64,Ntsr1Cre_2019_0007,6,21
65,Ntsr1Cre_2019_0008,3,5
66,Ntsr1Cre_2019_0008,3,6
67,Ntsr1Cre_2019_0008,3,11
68,Ntsr1Cre_2019_0008,3,14
69,Ntsr1Cre_2019_0008,3,17
70,Ntsr1Cre_2019_0008,3,18
71,Ntsr1Cre_2019_0008,3,20
72,Ntsr1Cre_2019_0008,3,22
73,Ntsr1Cre_2019_0008,3,25
74,Ntsr1Cre_2019_0008,3,26
75,Ntsr1Cre_2019_0008,3,27
76,Ntsr1Cre_2019_0008,3,30
77,Ntsr1Cre_2019_0008,3,34
78,Ntsr1Cre_2019_0008,3,36
79,Ntsr1Cre_2019_0008,5,19
80,Ntsr1Cre_2019_0008,5,21
81,Ntsr1Cre_2019_0008,5,27
82,Ntsr1Cre_2019_0008,5,48
83,Ntsr1Cre_2019_0008,5,54
84,Ntsr1Cre_2019_0008,5,58
85,Ntsr1Cre_2019_0008,6,23
86,Ntsr1Cre_2019_0008,6,30
87,Ntsr1Cre_2019_0008,6,31
88,Ntsr1Cre_2019_0008,6,35
89,Ntsr1Cre_2019_0008,6,40
90,Ntsr1Cre_2019_0008,6,46
91,Ntsr1Cre_2019_0008,6,50
92,Ntsr1Cre_2019_0008,6,51
93,Ntsr1Cre_2019_0008,7,1
94,Ntsr1Cre_2019_0008,7,2
95,Ntsr1Cre_2019_0008,7,3
96,Ntsr1Cre_2019_0008,7,4
97,Ntsr1Cre_2019_0008,7,5
98,Ntsr1Cre_2019_0008,7,6
99,Ntsr1Cre_2019_0008,7,7
100,Ntsr1Cre_2019_0008,7,8
101,Ntsr1Cre_2019_0008,7,9
102,Ntsr1Cre_2019_0008,7,10
103,Ntsr1Cre_2019_0008,7,11
104,Ntsr1Cre_2019_0008,7,12
105,Ntsr1Cre_2019_0008,7,13
106,Ntsr1Cre_2019_0008,7,14
107,Ntsr1Cre_2020_0001,2,2
108,Ntsr1Cre_2020_0001,2,3
109,Ntsr1Cre_2020_0001,2,6
110,Ntsr1Cre_2020_0001,2,8
111,Ntsr1Cre_2020_0001,2,19
112,Ntsr1Cre_2020_0001,2,21
113,Ntsr1Cre_2020_0001,2,36
114,Ntsr1Cre_2020_0001,2,38
115,Ntsr1Cre_2020_0001,2,44
116,Ntsr1Cre_2020_0001,2,54
117,Ntsr1Cre_2020_0001,2,55
118,Ntsr1Cre_2020_0001,2,58
119,Ntsr1Cre_2020_0001,2,59
120,Ntsr1Cre_2020_0001,2,65
121,Ntsr1Cre_2020_0001,2,66
122,Ntsr1Cre_2020_0001,2,99
123,Ntsr1Cre_2020_0001,2,150
124,Ntsr1Cre_2020_0001,3,3
125,Ntsr1Cre_2020_0001,3,7
126,Ntsr1Cre_2020_0001,3,10
127,Ntsr1Cre_2020_0001,3,13
128,Ntsr1Cre_2020_0001,3,14
129,Ntsr1Cre_2020_0001,3,15
